movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Harry Potter and the Sorcerer's Stone (2001),"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",2001-11-16,Adventure Family Fantasy,PG,152,318886962.0,709408841.0,1028492855,90294621.0,Warner Bros.
The Lord of the Rings: The Fellowship of the Ring (2001),A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2001-12-19,Adventure Drama Fantasy,PG-13,178,319372078.0,568468333.0,888483037,47211490.0,New Line Cinema
"Monsters, Inc. (2001)","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",2001-11-02,Adventure Animation Comedy Family Fantasy,G,92,290642256.0,289112757.0,579771043,62577067.0,Walt Disney Studios Motion Pictures
Shrek (2001),"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",2001-05-16,Adventure Animation Comedy Family Fantasy Romance,PG,90,268698241.0,220279678.0,488977919,42347760.0,DreamWorks Distribution
Ocean's Eleven (2001),"Danny Ocean, a gangster, rounds up a gang of associates to stage a sophisticated and elaborate casino heist which involves robbing three Las Vegas casinos simultaneously during a popular boxing event.",2001-12-07,Crime Thriller,PG-13,116,183417150.0,267300000.0,450717150,38107822.0,Warner Bros.
Pearl Harbor (2001),A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,2001-05-25,Action Drama Romance War,PG-13,183,198542554.0,250678391.0,449220945,59078912.0,Walt Disney Studios Motion Pictures
The Mummy Returns (2001),"The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror.",2001-05-04,Action Adventure Fantasy Thriller,PG-13,130,202019785.0,241261119.0,443284916,68139035.0,Universal Pictures
Jurassic Park III (2001),"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants.",2001-07-05,Action Adventure Sci-Fi Thriller,PG-13,92,181171875.0,187608934.0,368780809,50771645.0,Universal Pictures
Planet of the Apes (2001),"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",2001-07-27,Action Adventure Sci-Fi Thriller,PG-13,120,180011740.0,182200000.0,362211740,68532960.0,Twentieth Century Fox
Hannibal (2001),"Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target of revenge from a powerful victim.",2001-02-09,Crime Drama Thriller,R,131,165092268.0,186600000.0,351692268,58003121.0,Metro-Goldwyn-Mayer (MGM)
Rush Hour 2 (2001),"Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam.",2001-08-03,Action Comedy Crime Thriller,PG-13,90,226164286.0,121161516.0,347325802,67408222.0,New Line Cinema
A Beautiful Mind (2001),"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",2001-12-21,Biography Drama Mystery,PG-13,135,170742341.0,146048916.0,316791257,367151.0,Universal Pictures
American Pie 2 (2001),"Jim and his friends are now in college, and they decide to meet up at the beach house for some fun.",2001-08-10,Comedy,R,108,145103595.0,142450000.0,287553595,45117985.0,Universal Pictures
Bridget Jones's Diary (2001),Bridget Jones is determined to improve herself while she looks for love in a year in which she keeps a personal diary.,2001-04-13,Comedy Drama Romance,R,97,71543427.0,210452447.0,281996360,10733933.0,Miramax
Spirited Away (2001),"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",2001-07-27,Adventure Animation Family Fantasy Mystery,PG,124,15205725.0,344120451.0,359600098,449839.0,Walt Disney Studios Motion Pictures
Lara Croft: Tomb Raider (2001),"Adventurer Lara Croft explores lost empires and discovers immeasurable treasures in her daily life, but a secret from the past of her father, a missing archaeologist, will lead her to one of her greatest challenges.",2001-06-15,Action Adventure Fantasy Thriller,PG-13,100,131168070.0,143535270.0,274703340,47735743.0,Paramount Pictures
A.I. Artificial Intelligence (2001),"A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",2001-06-29,Adventure Drama Sci-Fi,PG-13,146,78616689.0,157309863.0,235926635,29352630.0,Warner Bros.
The Others (2001),"In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted.",2001-08-10,Horror Mystery Thriller,PG-13,101,96578502.0,113424350.0,210002906,14089952.0,Miramax
The Fast and the Furious (2001),Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to end it.,2001-06-22,Action Crime Thriller,PG-13,106,144745925.0,62771584.0,207517995,40089015.0,Universal Pictures
Vanilla Sky (2001),A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.,2001-12-14,Fantasy Mystery Romance Sci-Fi Thriller,R,136,100618344.0,102769997.0,203388341,25015518.0,Paramount Pictures
Cats & Dogs (2001),"A look at the top-secret, high-tech espionage war going on between cats and dogs, of which their human owners are blissfully unaware.",2001-07-04,Action Adventure Comedy Family Fantasy,PG,87,93385515.0,107301977.0,200687492,21707617.0,Warner Bros.
Atlantis: The Lost Empire (2001),A young linguist named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.,2001-06-08,Action Adventure Animation Family Fantasy Sci-Fi,PG,95,84056472.0,101997253.0,186053725,329011.0,Walt Disney Studios Motion Pictures
Moulin Rouge! (2001),A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star coveted by a jealous duke.,2001-05-18,Drama Musical Romance,PG-13,127,57386607.0,127541935.0,184935252,167540.0,Twentieth Century Fox
Dr. Dolittle 2 (2001),Dolittle must save a forest and a bear's life.,2001-06-22,Comedy Family Fantasy,PG,87,112952899.0,63151445.0,176104344,25037039.0,Twentieth Century Fox
Amélie (2001),"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",2001-04-25,Comedy Romance,R,122,33712444.0,141317403.0,175183052,136470.0,Miramax
Black Hawk Down (2001),"The story of one hundred and sixty elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",2001-12-28,Action Drama History War,R,144,108638745.0,64350906.0,172989651,179823.0,Revolution Studios
The Princess Diaries (2001),"Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.",2001-08-03,Comedy Family Romance,G,115,108248956.0,57086197.0,165335153,22862269.0,Walt Disney Studios Motion Pictures
Spy Kids (2001),"Two kids become spies in attempt to save their ex-spies parents from an evil mastermind. Armed with a bag of high tech gadgets, Carmen and Juni will bravely crisscross the globe on a mission to save their parents and maybe even the world.",2001-03-30,Action Adventure Comedy Family Sci-Fi,PG,88,112719001.0,35215179.0,147934180,26546881.0,Miramax
The Mexican (2001),"A man tries to transport an ancient gun called The Mexican, believed to carry a curse, back across the border, while his girlfriend pressures him to give up his criminal ways.",2001-03-02,Adventure Comedy Drama Romance,R,123,66845033.0,81000000.0,147845033,20108829.0,DreamWorks Distribution
Swordfish (2001),"A covert counter-terrorist unit called Black Cell led by Gabriel Shear wants the money to help finance their war against international terrorism, but it's all locked away. Gabriel brings in convicted hacker Stanley Jobson to help him.",2001-06-08,Action Crime Thriller,R,99,69772969.0,77307444.0,147080413,18145632.0,Warner Bros.
Spy Game (2001),Retiring CIA agent Nathan Muir recalls his training of Tom Bishop while working against agency politics to free him from his Chinese captors.,2001-11-21,Action Crime Thriller,R,126,62362560.0,80687000.0,143049560,21689125.0,Universal Pictures
Legally Blonde (2001),"Fashionable sorority queen Elle Woods follows her ex-boyfriend to law school, where she discovers that there is more to her than just looks.",2001-07-13,Comedy Romance,,96,96520674.0,45254005.0,141778365,20377426.0,Metro-Goldwyn-Mayer (MGM)
Scary Movie 2 (2001),Four teens are tricked by a professor into visiting a haunted house for a school project.,2001-07-04,Comedy Horror,R,83,71308997.0,69911681.0,141220678,20503356.0,Miramax
Shallow Hal (2001),A shallow man falls in love with a 300-pound woman because of her inner beauty.,2001-11-09,Comedy Drama Fantasy Romance,PG-13,114,70839203.0,70230657.0,141069860,22518295.0,Twentieth Century Fox
America's Sweethearts (2001),A movie publicist deals with the messy public split of his movie's co-stars while keeping reporters at bay while a reclusive director holds the film's print hostage.,2001-07-20,Comedy Romance,PG-13,102,93607673.0,44700000.0,138307673,30181877.0,Revolution Studios
Save the Last Dance (2001),"A white midwestern girl moves to Chicago, where her new boyfriend is a black teen from the South Side with a rough, semi-criminal past.",2001-01-12,Drama Music Romance,PG-13,112,91057006.0,40649803.0,131706809,23444930.0,Paramount Pictures
