movie_title,genres,distributor_group,release_month,domestic_opening_adjusted,total_gross_adjusted,prediction
'Round Midnight (1986),Drama Music,Major Studio,10,72646,9365749,6.111059284397508E7
'Til There Was You (1997),Comedy Romance,Major Studio,05,2570658,6888839,3.1912789394499626E7
"'night, Mother (1986)",Drama,Major Studio,09,140701,1264556,3.969152573719332E7
*batteries not included (1987),Comedy Family Fantasy Sci-Fi,Major Studio,12,9184115,179701679,7.684143088841318E7
10 (1979),Comedy Romance,Major Studio,10,15242326,323567981,9.84195770496554E7
10 Cloverfield Lane (2016),Drama Horror Sci-Fi Thriller,Major Studio,03,32318444,144052207,1.9148094108298838E8
10 Days with Dad (2020),Comedy Family,Small / Indie Studio,02,1038,11480607,2.4490993193020694E7
10 Things I Hate About You (1999),Comedy Drama Romance,Major Studio,03,15687666,101093018,6.1484647480139725E7
10 to Midnight (1983),Crime Drama Thriller,Major Studio,03,9606678,22599513,4.2322162176812686E7
"10,000 BC (2008)",Action Adventure Drama Fantasy History,Major Studio,03,52258580,393072949,3.4730646222415197E8
101 Dalmatians (1996),Adventure Comedy Crime Family,Major Studio,11,67005914,641358142,5.64546471676726E8
102 Dalmatians (2000),Adventure Comedy Family,Major Studio,11,36220722,334478377,2.86346366584134E8
12 Monkeys (1995),Mystery Sci-Fi Thriller,Major Studio,12,380381,347573500,1.4363330839961728E8
12 Strong (2018),Action Drama History War,Major Studio,01,19756343,84146009,1.4745497260755292E8
12 Years a Slave (2013),Biography Drama History,Major Studio,10,1243819,252791496,8.704906915250637E7
127 Hours (2010),Biography Drama,Major Studio,11,381001,87375737,6.0977303882010244E7
13 Assassins (2010),Action Adventure Drama,Mid-size Studio,09,65963,26885126,6.3060424606368996E7
13 Going on 30 (2004),Comedy Fantasy Romance,Small / Indie Studio,04,34966741,160196670,2.0086339756069514E8
13 Hours (2016),Action Drama History Thriller War,Major Studio,02,21433328,91864200,1.4745497260755292E8
1408 (2007),Fantasy Horror Mystery,Major Studio,06,31192997,201163761,2.236290161944746E8
1492: Conquest of Paradise (1992),Adventure Biography Drama History,Major Studio,10,6712590,16076610,7.021395501840198E7
15 Minutes (2001),Action Crime Drama Thriller,Major Studio,03,18642391,99845045,1.1052004303803726E8
16 Blocks (2006),Action Drama Thriller,Major Studio,03,18447723,102179505,1.1052004303803726E8
17 Again (2009),Comedy Drama Fantasy Romance Sport,Major Studio,04,34685613,199315941,2.078892480351117E8
18 Again! (1988),Comedy Fantasy Romance,Small / Indie Studio,04,3914215,6809346,2.625317497446979E7
18 Years Later (2003),Comedy Drama Romance,Small / Indie Studio,02,43672,14981494,2.4490993193020694E7
1917 (2019),Action Drama War,Major Studio,12,707006,547312550,2.5137160525892338E8
1941 (1979),Action Comedy War,Major Studio,12,11677575,399592749,8.343227508464323E7
1969 (1988),Drama War,Small / Indie Studio,11,4533518,15859597,3.711633927348931E7
1984 (1984),Drama Sci-Fi,Small / Indie Studio,12,90281,25461023,3.62410168919543E7
2 Days in the Valley (1996),Comedy Crime Thriller,Major Studio,09,6704666,22263710,3.3279025448886316E7
2 Fast 2 Furious (2003),Action Crime Thriller,Major Studio,06,86066059,403031347,7.845940202589254E8
2 Guns (2013),Action Comedy Crime Thriller,Major Studio,08,36436206,177663065,2.078892480351117E8
2.0 (2018),Action Fantasy Sci-Fi Thriller,Small / Indie Studio,11,3466567,46153403,7.405126884300497E7
200 Cigarettes (1999),Comedy Drama Romance,Major Studio,02,6109360,12903980,2.927946331030209E7
2010: The Year We Make Contact (1984),Adventure Mystery Sci-Fi Thriller,Major Studio,12,22325986,121999250,2.434626843015438E8
2012 (2009),Action Adventure Sci-Fi,Major Studio,11,95387280,1156880395,1.1057874874789584E9
2016: Obama's America (2012),Documentary,Small / Indie Studio,07,43189,45701659,3.4703180104599364E7
2025 Oscar Nominated Short Films: Live Action (2025),NaN,Small / Indie Studio,02,834956,3208583,4.167858831718631E7
2046 (2004),Drama Romance Sci-Fi,Small / Indie Studio,09,187792,33559824,5.944002285653892E7
21 & Over (2013),Comedy,Small / Indie Studio,03,11787839,64722359,4.480272937004255E7
21 (2008),Crime Drama Thriller,Major Studio,03,35122124,232839236,2.4482417760462737E8
21 Bridges (2019),Action Adventure Crime Drama Mystery Thriller,Mid-size Studio,11,11363401,61275140,5.963742994957727E7
21 Grams (2003),Crime Drama Thriller,Mid-size Studio,11,468001,103108580,9.485791925762457E7
21 Jump Street (2012),Action Comedy Crime,Major Studio,03,49600446,275427384,3.4730646222415197E8
22 Jump Street (2014),Action Comedy Crime,Major Studio,06,75621955,439030682,5.73405442373654E8
25th Hour (2002),Drama,Major Studio,12,189848,41741632,9.104775539577685E7
27 Dresses (2008),Comedy Romance,Major Studio,01,33522031,236987260,2.078892480351117E8
28 Days (2000),Comedy Drama,Major Studio,04,18782548,113305384,1.1052004303803726E8
28 Days Later (2002),Drama Horror Sci-Fi Thriller,Major Studio,02,17546721,130695526,1.159091079516847E8
28 Weeks Later (2007),Horror Sci-Fi,Small / Indie Studio,05,14837703,109391855,5.709212308992073E7
28 Years Later (2025),Horror Thriller,Major Studio,06,29390221,142437238,2.1200889615567446E8
29th Street (1991),Comedy Drama,Major Studio,11,994254,4884351,6.0977303882010244E7
3 Days to Kill (2014),Action Drama Thriller,Small / Indie Studio,02,16221430,70571942,1.0349419256362072E8
