movie_title,genres,distributor_group,release_month,domestic_opening_adjusted,total_gross_adjusted,prediction
'Round Midnight (1986),Drama Music,Major Studio,10,72646,9365749,1.0230513515249611E8
'Til There Was You (1997),Comedy Romance,Major Studio,05,2570658,6888839,1.0230513515249611E8
"'night, Mother (1986)",Drama,Major Studio,09,140701,1264556,1.0230513515249611E8
*batteries not included (1987),Comedy Family Fantasy Sci-Fi,Major Studio,12,9184115,179701679,1.1091726811391076E8
10 (1979),Comedy Romance,Major Studio,10,15242326,323567981,1.0797687046841025E8
10 Cloverfield Lane (2016),Drama Horror Sci-Fi Thriller,Major Studio,03,32318444,144052207,1.8811767221131817E8
10 Days with Dad (2020),Comedy Family,Small / Indie Studio,02,1038,11480607,5.347921432260457E7
10 Things I Hate About You (1999),Comedy Drama Romance,Major Studio,03,15687666,101093018,1.0797687046841025E8
10 to Midnight (1983),Crime Drama Thriller,Major Studio,03,9606678,22599513,1.0230513515249611E8
"10,000 BC (2008)",Action Adventure Drama Fantasy History,Major Studio,03,52258580,393072949,3.580774766722703E8
101 Dalmatians (1996),Adventure Comedy Crime Family,Major Studio,11,67005914,641358142,5.682912976488168E8
102 Dalmatians (2000),Adventure Comedy Family,Major Studio,11,36220722,334478377,1.8811767221131817E8
12 Monkeys (1995),Mystery Sci-Fi Thriller,Major Studio,12,380381,347573500,1.1091726811391076E8
12 Strong (2018),Action Drama History War,Major Studio,01,19756343,84146009,1.1918938894301553E8
12 Years a Slave (2013),Biography Drama History,Major Studio,10,1243819,252791496,1.0230513515249611E8
127 Hours (2010),Biography Drama,Major Studio,11,381001,87375737,1.0230513515249611E8
13 Assassins (2010),Action Adventure Drama,Mid-size Studio,09,65963,26885126,7.423023135651684E7
13 Going on 30 (2004),Comedy Fantasy Romance,Small / Indie Studio,04,34966741,160196670,2.005326802713268E8
13 Hours (2016),Action Drama History Thriller War,Major Studio,02,21433328,91864200,1.2586544363579321E8
1408 (2007),Fantasy Horror Mystery,Major Studio,06,31192997,201163761,2.2084605303858957E8
1492: Conquest of Paradise (1992),Adventure Biography Drama History,Major Studio,10,6712590,16076610,1.6845289953932267E8
15 Minutes (2001),Action Crime Drama Thriller,Major Studio,03,18642391,99845045,1.1918938894301553E8
16 Blocks (2006),Action Drama Thriller,Major Studio,03,18447723,102179505,1.1918938894301553E8
17 Again (2009),Comedy Drama Fantasy Romance Sport,Major Studio,04,34685613,199315941,1.8811767221131817E8
18 Again! (1988),Comedy Fantasy Romance,Small / Indie Studio,04,3914215,6809346,5.347921432260457E7
18 Years Later (2003),Comedy Drama Romance,Small / Indie Studio,02,43672,14981494,5.347921432260457E7
1917 (2019),Action Drama War,Major Studio,12,707006,547312550,1.1091726811391076E8
1941 (1979),Action Comedy War,Major Studio,12,11677575,399592749,1.1091726811391076E8
1969 (1988),Drama War,Small / Indie Studio,11,4533518,15859597,5.347921432260457E7
1984 (1984),Drama Sci-Fi,Small / Indie Studio,12,90281,25461023,5.6228458637633994E7
2 Days in the Valley (1996),Comedy Crime Thriller,Major Studio,09,6704666,22263710,1.0230513515249611E8
2 Fast 2 Furious (2003),Action Crime Thriller,Major Studio,06,86066059,403031347,7.287451983618047E8
2 Guns (2013),Action Comedy Crime Thriller,Major Studio,08,36436206,177663065,1.8811767221131817E8
2.0 (2018),Action Fantasy Sci-Fi Thriller,Small / Indie Studio,11,3466567,46153403,5.347921432260457E7
200 Cigarettes (1999),Comedy Drama Romance,Major Studio,02,6109360,12903980,1.0230513515249611E8
2010: The Year We Make Contact (1984),Adventure Mystery Sci-Fi Thriller,Major Studio,12,22325986,121999250,1.463454747424791E8
2012 (2009),Action Adventure Sci-Fi,Major Studio,11,95387280,1156880395,1.269076101874891E9
2016: Obama's America (2012),Documentary,Small / Indie Studio,07,43189,45701659,5.347921432260457E7
2025 Oscar Nominated Short Films: Live Action (2025),NaN,Small / Indie Studio,02,834956,3208583,5.347921432260457E7
2046 (2004),Drama Romance Sci-Fi,Small / Indie Studio,09,187792,33559824,5.347921432260457E7
21 & Over (2013),Comedy,Small / Indie Studio,03,11787839,64722359,5.347921432260457E7
21 (2008),Crime Drama Thriller,Major Studio,03,35122124,232839236,1.8811767221131817E8
21 Bridges (2019),Action Adventure Crime Drama Mystery Thriller,Mid-size Studio,11,11363401,61275140,7.423023135651684E7
21 Grams (2003),Crime Drama Thriller,Mid-size Studio,11,468001,103108580,7.423023135651684E7
21 Jump Street (2012),Action Comedy Crime,Major Studio,03,49600446,275427384,3.580774766722703E8
22 Jump Street (2014),Action Comedy Crime,Major Studio,06,75621955,439030682,4.9941123858043087E8
25th Hour (2002),Drama,Major Studio,12,189848,41741632,1.1091726811391076E8
27 Dresses (2008),Comedy Romance,Major Studio,01,33522031,236987260,1.8811767221131817E8
28 Days (2000),Comedy Drama,Major Studio,04,18782548,113305384,1.1918938894301553E8
28 Days Later (2002),Drama Horror Sci-Fi Thriller,Major Studio,02,17546721,130695526,1.0797687046841025E8
28 Weeks Later (2007),Horror Sci-Fi,Small / Indie Studio,05,14837703,109391855,6.092076990388157E7
28 Years Later (2025),Horror Thriller,Major Studio,06,29390221,142437238,2.2084605303858957E8
29th Street (1991),Comedy Drama,Major Studio,11,994254,4884351,1.0230513515249611E8
3 Days to Kill (2014),Action Drama Thriller,Small / Indie Studio,02,16221430,70571942,6.424892013814433E7
3 Idiots (2009),Comedy Drama,Small / Indie Studio,12,2405973,88113401,5.923297419528161E7
3 Ninjas (1992),Action Comedy Family Sport,Major Studio,08,13164875,64831132,1.0435819340089764E8
3 Ninjas Kick Back (1994),Action Comedy Family Sport,Small / Indie Studio,05,7525999,24969186,5.347921432260457E7
3 Strikes (2000),Comedy,Major Studio,03,6712281,17910872,1.0230513515249611E8
30 Days of Night (2007),Horror Thriller,Major Studio,10,24134041,114245810,1.3432585785568565E8
30 Minutes or Less (2011),Action Comedy Crime,Major Studio,08,18589511,56706060,1.1918938894301553E8
300 (2006),Action Drama,Major Studio,03,107244189,690018666,7.976252574301907E8
3000 Miles to Graceland (2001),Action Comedy Crime Thriller,Major Studio,02,12685287,33163900,1.0435819340089764E8
300: Rise of an Empire (2014),Action Drama,Major Studio,03,59677767,447307114,5.682912976488168E8
35 Up (1991),Biography Documentary Romance,Small / Indie Studio,01,30604,2063111,5.347921432260457E7
3:10 to Yuma (2007),Action Crime Drama Western,Major Studio,09,21233961,105929334,1.2586544363579321E8
40 Days and 40 Nights (2002),Comedy Romance,Mid-size Studio,03,21326890,165924158,9.404028020931847E7
42 (2013),Biography Drama Sport,Major Studio,04,37012544,131301398,2.2404200421269616E8
47 Meters Down (2017),Horror Mystery Thriller,Small / Indie Studio,05,14340211,79597892,5.730209283636898E7
47 Meters Down: Uncaged (2019),Adventure Drama Horror Thriller,Small / Indie Studio,08,10340095,58382908,5.347921432260457E7
47 Ronin (2013),Action Drama Fantasy,Major Studio,12,13344631,204383038,1.1297032636231232E8
48 Hrs. (1982),Action Comedy Crime Drama Thriller,Major Studio,12,14205014,256376298,1.1297032636231232E8
50 First Dates (2004),Comedy Drama Romance,Major Studio,02,66186193,329701566,4.95468076364322E8
50/50 (2011),Comedy Drama Romance,Mid-size Studio,09,12054620,57312997,7.628328960491836E7
500 Days of Summer (2009),Comedy Drama Romance,Major Studio,07,1220167,88901768,1.0230513515249611E8
52 Pick-Up (1986),Crime Drama Thriller,Small / Indie Studio,11,4735929,14843527,5.347921432260457E7
54 (1998),Drama Music,Mid-size Studio,08,12722971,32246822,7.628328960491836E7
65 (2023),Action Adventure Sci-Fi Thriller,Major Studio,03,12692102,62522389,1.0435819340089764E8
71: Into the Fire (2010),Action Drama War,Small / Indie Studio,06,111000,30163007,5.6153524138669536E7
8 Heads in a Duffel Bag (1997),Adventure Comedy Crime Mystery,Mid-size Studio,04,3956332,7040797,7.423023135651684E7
8 Mile (2002),Drama Music,Major Studio,11,89357626,423546160,7.976252574301907E8
8 Million Ways to Die (1986),Action Crime Drama Thriller,Small / Indie Studio,04,1745614,3735072,5.347921432260457E7
8 Seconds (1994),Biography Drama Sport Western,Major Studio,02,7129685,41527782,1.0230513515249611E8
8 Women (2002),Comedy Crime Musical Romance,Mid-size Studio,02,91535,73987074,7.423023135651684E7
80 for Brady (2023),Comedy Drama Sport,Major Studio,02,13076395,41675240,1.0435819340089764E8
84 Charing Cross Road (1987),Biography Drama Romance,Major Studio,02,67227,2991364,1.0230513515249611E8
88 Minutes (2007),Crime Drama Mystery Thriller,Major Studio,04,10525750,49311368,1.0230513515249611E8
8MM (1999),Crime Drama Mystery Thriller,Major Studio,02,26839887,181944529,1.6943211214590883E8
9 (2009),Action Adventure Animation Drama Fantasy Sci-Fi Thriller,Mid-size Studio,08,15704160,70809169,7.990196667243096E7
9 to 5 (1980),Comedy,Major Studio,12,15099570,393220076,1.1999648735520366E8
976-EVIL (1988),Comedy Horror,Major Studio,03,2009238,7479564,1.0230513515249611E8
9½ Weeks (1986),Drama Romance,Major Studio,02,940996,19290375,1.0230513515249611E8
A Bad Moms Christmas (2017),Comedy,Mid-size Studio,11,21447378,167083472,9.404028020931847E7
A Beautiful Day in the Neighborhood (2019),Biography Drama Family,Major Studio,11,16259019,83343594,1.0797687046841025E8
A Beautiful Mind (2001),Biography Drama Mystery,Major Studio,12,650430,561214488,1.1091726811391076E8
A Beautiful Planet (2016),Documentary,Small / Indie Studio,04,292743,34354552,5.347921432260457E7
A Brief History of Time (1991),Biography Documentary,Small / Indie Studio,08,187841,5096327,5.347921432260457E7
A Bronx Tale (1993),Crime Drama,Small / Indie Studio,10,8070158,37540085,5.347921432260457E7
A Bug's Life (1998),Adventure Animation Comedy Family,Major Studio,11,560222,699040988,1.0230513515249611E8
A Chorus Line (1985),Drama Music Musical,Major Studio,12,650065,41420818,1.1091726811391076E8
A Christmas Carol (2009),Adventure Animation Comedy Drama Family Fantasy,Major Studio,09,43939227,475618383,2.2404200421269616E8
A Christmas Story (1983),Comedy Family,Major Studio,11,6527250,65486532,1.0230513515249611E8
A Cinderella Story (2004),Comedy Family Romance,Major Studio,07,22625522,116388774,1.3432585785568565E8
A Civil Action (1998),Biography Drama,Major Studio,12,134857,109130446,1.1091726811391076E8
A Complete Unknown (2024),Biography Drama Music,Mid-size Studio,12,11655553,140508652,7.889702421365777E7
A Cool Fish (2018),Comedy Crime Drama,Small / Indie Studio,11,88928,147598490,5.347921432260457E7
A Cry in the Dark (1988),Biography Drama,Major Studio,11,4142727,18325897,1.0230513515249611E8
A Cure for Wellness (2016),Drama Fantasy Horror Mystery Sci-Fi Thriller,Major Studio,02,5575754,34066696,1.0230513515249611E8
A Dangerous Method (2011),Biography Drama Romance,Small / Indie Studio,09,234219,42560869,5.347921432260457E7
A Dangerous Woman (1993),Drama Romance,Small / Indie Studio,11,1477555,3251167,5.347921432260457E7
A Dog of Flanders (1999),Drama Family,Major Studio,08,1521321,4078153,1.0230513515249611E8
A Dog's Journey (2019),Adventure Comedy Drama Family Fantasy,Major Studio,05,9852763,96773356,1.0230513515249611E8
A Dog's Purpose (2017),Adventure Comedy Drama Family Fantasy,Major Studio,01,23320469,262392649,1.3432585785568565E8
A Dog's Way Home (2019),Adventure Drama Family,Major Studio,01,13805088,99027359,1.0435819340089764E8
A Dry White Season (1989),Drama Thriller,Major Studio,09,512418,9531599,1.0230513515249611E8
A Family Thing (1996),Comedy Drama,Major Studio,03,6041131,20250188,1.0230513515249611E8
A Far Off Place (1993),Adventure Drama Family Romance,Major Studio,03,7649719,27991832,1.0230513515249611E8
A Few Good Men (1992),Drama Thriller,Major Studio,12,34689813,543771461,2.0979584524837056E8
A Fine Mess (1986),Action Comedy Crime Romance,Major Studio,08,7499990,17256596,1.0230513515249611E8
A Fish Called Wanda (1988),Comedy Crime,Major Studio,07,306151,165767398,1.0230513515249611E8
A Fish Tale (2000),Adventure Animation Comedy Drama Family Fantasy Musical Sci-Fi,Small / Indie Studio,04,102088,9912453,5.347921432260457E7
A Good Day to Die Hard (2013),Action Thriller,Major Studio,02,33441117,410229097,1.8811767221131817E8
A Good Man in Africa (1994),Comedy,Small / Indie Studio,09,2422970,4885103,5.347921432260457E7
A Good Year (2006),Comedy Drama Romance,Major Studio,10,5790989,65775347,1.0230513515249611E8
A Goofy Movie (1995),Adventure Animation Comedy Drama Family Musical Romance,Major Studio,04,12618327,72778900,1.0435819340089764E8
A Guy Thing (2003),Comedy Romance,Major Studio,01,11917268,29725458,1.0435819340089764E8
A Handful of Dust (1988),Drama Romance,Major Studio,06,94086,4139827,1.3821043868913203E8
A Haunted House (2013),Comedy Fantasy Horror,Mid-size Studio,01,24374642,81007297,1.0271647860769296E8
A Haunted House 2 (2014),Comedy Fantasy Horror,Mid-size Studio,04,11718489,33601316,7.423023135651684E7
A Haunting in Venice (2023),Crime Drama Horror Mystery Thriller,Major Studio,09,14700838,125898566,1.0797687046841025E8
A History of Violence (2005),Action Crime Drama Thriller,Major Studio,09,584685,98601470,1.0230513515249611E8
A Home of Our Own (1993),Biography Drama,Small / Indie Studio,11,1755474,3643301,5.347921432260457E7
A Kid in King Arthur's Court (1995),Adventure Comedy Family Fantasy Romance,Major Studio,08,8883512,27599114,1.0230513515249611E8
A Kiss Before Dying (1991),Crime Drama Mystery Thriller,Major Studio,04,10015243,35538428,1.0230513515249611E8
A Knight's Tale (2001),Action Adventure Drama Romance,Major Studio,05,29250908,208136348,1.8577665640240195E8
A League of Their Own (1992),Comedy Drama Sport,Major Studio,07,30715008,296074154,1.9108335227991694E8
A Life Less Ordinary (1997),Comedy Crime Fantasy Romance,Major Studio,10,3922647,8533498,1.0230513515249611E8
A Little Princess (1995),Drama Family Fantasy,Major Studio,05,58901,20617838,1.0230513515249611E8
A Little Sex (1982),Comedy Romance,Major Studio,04,3348421,7705319,1.0230513515249611E8
A Lot Like Love (2005),Comedy Drama Romance,Major Studio,04,12170113,68887986,1.0435819340089764E8
A Low Down Dirty Shame (1994),Action Comedy Crime,Major Studio,11,16867634,62201360,1.0797687046841025E8
A Madea Christmas (2013),Comedy Drama Romance,Major Studio,12,21554922,71900714,1.3788506052258664E8
A Madea Family Funeral (2019),Comedy Drama,Major Studio,02,33204971,91714049,1.8811767221131817E8
A Man Apart (2003),Action Crime Drama Thriller,Major Studio,04,19098326,75627538,1.1918938894301553E8
A Man Called Otto (2022),Comedy Drama,Major Studio,12,60302,121510081,1.1091726811391076E8
A Man Called Ove (2015),Comedy Drama Romance,Small / Indie Studio,12,72272,40665913,5.6228458637633994E7
A Man of No Importance (1994),Comedy Drama,Small / Indie Studio,12,77467,1948878,5.6228458637633994E7
A Midnight Clear (1992),Drama War,Small / Indie Studio,04,104931,3412982,5.347921432260457E7
A Midsummer Night's Dream (1999),Comedy Fantasy Romance,Major Studio,05,8070333,30265473,1.0230513515249611E8
A Midsummer Night's Sex Comedy (1982),Comedy,Major Studio,07,8173747,29507238,1.0230513515249611E8
A Mighty Heart (2007),Biography Drama History Thriller War,Small / Indie Studio,06,5974336,28758817,5.6153524138669536E7
A Mighty Wind (2003),Comedy Music,Major Studio,04,3601637,31973063,1.0230513515249611E8
A Million Ways to Die in the West (2014),Comedy Western,Major Studio,05,22257209,115529925,1.3432585785568565E8
A Million to Juan (1994),Comedy,Small / Indie Studio,05,807254,2583593,5.347921432260457E7
