movie_title,movie_summary,release_date,genres,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Seven (1995),"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",1995-09-22,Crime Drama Mystery Thriller,127,101040643.0,227918559.0,328983304,13949807.0,New Line Cinema
Toy Story (1995),"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.",1995-11-22,Adventure Animation Comedy Family Fantasy,81,223225679.0,171210907.0,394436586,29140617.0,Walt Disney Studios Motion Pictures
Apollo 13 (1995),NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,1995-06-30,Adventure Drama History,140,173837933.0,181077570.0,355237933,25353380.0,Universal Pictures
Batman Forever (1995),"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",1995-06-16,Action Adventure,121,184069126.0,152498032.0,336567158,52784433.0,Warner Bros.
Pocahontas (1995),An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,1995-06-16,Adventure Animation Drama Family Musical Romance,81,141579773.0,204500000.0,346079773,2689714.0,Walt Disney Studios Motion Pictures
Ace Ventura: When Nature Calls (1995),"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",1995-11-10,Adventure Comedy Crime,90,108385533.0,104000000.0,212385533,37804076.0,Warner Bros.
GoldenEye (1995),"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",1995-11-17,Action Adventure Thriller,130,106429941.0,245764093.0,352194034,26205007.0,Metro-Goldwyn-Mayer (MGM)
Casper (1995),An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,1995-05-26,Comedy Family Fantasy,100,100544179.0,187600000.0,288144179,16840385.0,Universal Pictures
Jumanji (1995),A magic board game summons jungle perils and a missing boy.,1995-12-15,Adventure Comedy Family Fantasy,104,100499940.0,162322000.0,262821940,11084370.0,Sony Pictures Releasing
Die Hard with a Vengeance (1995),"John McClane is forced out of suspension to play a game of ""Simon Says"" by a terrorist who has planted bombs all around New York City and will detonate them if McClane doesn't do what he says.",1995-05-19,Action Adventure Thriller,128,100012499.0,266089167.0,366101666,22162245.0,Twentieth Century Fox
Crimson Tide (1995),"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger-happy Captain from launching his missiles before confirming his orders to do so.",1995-05-12,Action Drama Thriller War,116,91387195.0,66000000.0,157387195,18612190.0,Walt Disney Studios Motion Pictures
Waterworld (1995),"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.",1995-07-28,Action Adventure Sci-Fi,135,88246220.0,175972000.0,264218220,21171780.0,Universal Pictures
12 Monkeys (1995),"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",1995-12-29,Mystery Sci-Fi Thriller,129,57141459.0,111698000.0,168839459,184776.0,Universal Pictures
Dangerous Minds (1995),"LouAnne, a retired US marine, becomes a teacher in a Californian high school. But her mostly Latino and black students from an impoverished and racially segregated locality do not easily embrace her.",1995-08-11,Biography Drama,99,84919401.0,94600000.0,179519401,14931503.0,Walt Disney Studios Motion Pictures
Mr. Holland's Opus (1995),A frustrated composer finds fulfillment as a high school music teacher.,1995-12-29,Drama Music,144,82569971.0,23700000.0,106269971,14466.0,Walt Disney Studios Motion Pictures
While You Were Sleeping (1995),A hopelessly romantic Chicago Transit Authority ticket booth operator is mistaken for the fiancée of a comatose patient.,1995-04-21,Comedy Drama Romance,103,81057016.0,101000000.0,182057016,9288915.0,Walt Disney Studios Motion Pictures
Congo (1995),"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.",1995-06-09,Action Adventure Mystery Sci-Fi,109,81022101.0,71000000.0,152022101,24642539.0,Paramount Pictures
Father of the Bride Part II (1995),"George Banks must deal not only with his daughter's pregnancy, but also with his wife's.",1995-12-08,Comedy Family Romance,106,76594107.0,,76594107,11134978.0,Walt Disney Studios Motion Pictures
Braveheart (1995),Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,1995-05-24,Biography Drama War,178,75609945.0,137606271.0,213216216,9938276.0,Paramount Pictures
Get Shorty (1995),A mobster travels from Florida to Hollywood to collect a debt and discovers that the movie business is just as sleazy as the Miami underworld.,1995-10-20,Comedy Crime Thriller,105,72101622.0,43000000.0,115101622,12700007.0,Metro-Goldwyn-Mayer (MGM)
Grumpier Old Men (1995),"Just as John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, its new female owner catches Max's attention.",1995-12-22,Comedy Romance,101,71518503.0,,71518503,7797185.0,Warner Bros.
The Bridges of Madison County (1995),Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,1995-06-02,Drama Romance,135,71516617.0,110500000.0,182016617,10519257.0,Warner Bros.
Mortal Kombat (1995),Three martial artists are forced to battle demonic adversaries in another dimension with the fate of the world hanging in the balance.,1995-08-18,Action Adventure Fantasy Sci-Fi Thriller,101,70454098.0,51741822.0,122195920,23283887.0,New Line Cinema
Nine Months (1995),"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.",1995-07-14,Comedy Romance,103,69684532.0,68825698.0,138510230,12522240.0,Twentieth Century Fox
Casino (1995),"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",1995-11-22,Crime Drama,178,42512375.0,73600000.0,116112375,9946480.0,Universal Pictures
Outbreak (1995),A team of Army doctors struggle to find a cure for the deadly Motaba virus that was transported from Africa to North America by a white-headed Capuchin monkey and is now spreading quickly throughout a small California town.,1995-03-10,Action Drama Thriller,127,67659560.0,122200000.0,189859560,13420387.0,Warner Bros.
Heat (1995),A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,1995-12-15,Action Crime Drama,170,67436818.0,120000000.0,187436818,8445656.0,Warner Bros.
Waiting to Exhale (1995),"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.",1995-12-22,Comedy Drama Romance,124,67052156.0,14400000.0,81452156,14126927.0,Twentieth Century Fox
Bad Boys (1995),Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,1995-04-07,Action Comedy Crime Thriller,119,65807024.0,75600000.0,141407024,15523358.0,Sony Pictures Releasing
Babe (1995),"Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals accept him?",1995-08-04,Comedy Drama Family,91,63658910.0,190476000.0,254134910,8742545.0,Universal Pictures
The American President (1995),"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.",1995-11-17,Comedy Drama Romance,114,60079496.0,47800000.0,107879496,10014558.0,Sony Pictures Releasing
Species (1995),A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.,1995-07-07,Action Horror Sci-Fi Thriller,108,60074103.0,53300000.0,113374103,17161943.0,Metro-Goldwyn-Mayer (MGM)
Clueless (1995),"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",1995-07-21,Comedy Romance,97,56631572.0,90710.0,56753362,10612443.0,Paramount Pictures
Sabrina (1995),"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",1995-12-15,Comedy Drama Romance,127,53672080.0,24198.0,53696959,5563259.0,Paramount Pictures
Something to Talk About (1995),A woman's world is rocked when she discovers her husband is cheating on her.,1995-08-04,Comedy Drama Romance,106,50865589.0,,50865589,11115697.0,Warner Bros.
The Net (1995),"When Angela Bennett, a computer programmer, stumbles upon government secrets, she finds herself on the run from an unknown enemy hell-bent on destroying her completely.",1995-07-28,Action Crime Drama Mystery Thriller,114,50727965.0,59900000.0,110627965,10037745.0,Sony Pictures Releasing
Under Siege 2: Dark Territory (1995),"Casey Ryback, is on vacation, with his recently orphaned niece to attend his brothers funeral by train but when terrorists hijack it, to use as a mobile base to hack a top secret destructive US satellite, Ryback must stop them.",1995-07-14,Action Adventure Thriller,100,50024083.0,54300000.0,104324083,12624402.0,Warner Bros.
A Walk in the Clouds (1995),"Paul Sutton, a young married soldier, befriends a pregnant lady who is petrified her father will disown her, and agrees to pose as her boyfriend. As time passes, they start growing fond of each other.",1995-08-11,Drama Romance,102,50008143.0,,50008143,9526010.0,Twentieth Century Fox
The Brady Bunch Movie (1995),"The original 1970s TV family is now placed in the 1990s, where they're even more square and out of place than ever.",1995-02-17,Comedy,90,46576136.0,,46576136,14827066.0,Paramount Pictures
Sense and Sensibility (1995),"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The older two daughters are the title opposites.",1995-12-15,Drama Romance,136,43182776.0,91400000.0,134582776,721341.0,Sony Pictures Releasing
Man of the House (1995),"A young boy refuses to accept his mother's new boyfriend despite his attempts to win his respect. Meanwhile, the disgruntled relative of a criminal he prosecuted seeks revenge.",1995-03-03,Comedy Family,96,40070995.0,,40070995,9473317.0,Walt Disney Studios Motion Pictures
Dead Man Walking (1995),"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",1995-12-29,Crime Drama,122,39363635.0,,39363635,118266.0,Gramercy Pictures (I)
French Kiss (1995),A woman flying to France to confront her straying fiance gets into trouble when the charming crook seated next to her uses her for smuggling.,1995-05-05,Comedy Drama Romance,111,38896854.0,63086000.0,101982854,9018022.0,Twentieth Century Fox
Higher Learning (1995),"People from all different walks of life, encounter racial tension, rape, responsibility, and the meaning of an education on a university campus.",1995-01-13,Crime Drama Thriller,128,38290723.0,,38290723,13276662.0,Sony Pictures Releasing
Mighty Morphin Power Rangers (1995),"A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a distant planet to find the mystic warrior Dulcea.",1995-06-30,Action Adventure Family Sci-Fi Thriller,95,38187431.0,28245763.0,66433194,13104788.0,Twentieth Century Fox
First Knight (1995),"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.",1995-07-07,Action Adventure Drama Romance,134,37600435.0,90000000.0,127600435,10856442.0,Sony Pictures Releasing
Just Cause (1995),A Harvard professor is lured back into the courtroom after twenty-five years to take the case of a young black man condemned to death for the horrific murder of a child.,1995-02-17,Action Crime Drama Mystery Thriller,102,36853222.0,,36853222,10607932.0,Warner Bros.
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.",1995-09-08,Comedy Drama,109,36474193.0,11300000.0,47774193,9019180.0,Universal Pictures
The Indian in the Cupboard (1995),"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick.",1995-07-14,Drama Family Fantasy,96,35656131.0,,35656131,7716278.0,Paramount Pictures
Money Train (1995),"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",1995-11-22,Action Comedy Crime Drama Thriller,110,35431113.0,,35431113,10608297.0,Sony Pictures Releasing
A Goofy Movie (1995),"When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.",1995-04-07,Adventure Animation Comedy Drama Family Musical Romance,78,35348597.0,,35353530,6129557.0,Walt Disney Studios Motion Pictures
Judge Dredd (1995),"In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart.",1995-06-30,Action Crime Sci-Fi Thriller,96,34693481.0,78800000.0,113493481,12291536.0,Walt Disney Studios Motion Pictures
Forget Paris (1995),"Mickey, an NBA referee, meets Ellen, an American airline official, in Paris. It develops into a relationship of ups and downs.",1995-05-19,Comedy Romance,101,33177694.0,,33177694,5812656.0,Sony Pictures Releasing
Tommy Boy (1995),"After his auto-parts tycoon father dies, the overweight, underachieving son teams up with a snide accountant to try and save the family business.",1995-03-31,Adventure Comedy,97,32679899.0,,32679899,8027843.0,Paramount Pictures
Copycat (1995),A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.,1995-10-27,Drama Mystery Thriller,123,32051917.0,,32051917,5170522.0,Warner Bros.
Leaving Las Vegas (1995),"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",1995-10-27,Drama Romance,111,32029928.0,,32029928,70864.0,Metro-Goldwyn-Mayer (MGM)
Rob Roy (1995),"In 1713 Scotland, Rob Roy MacGregor is wronged by a nobleman and his nephew, becomes an outlaw in search of revenge while fleeing the Redcoats, and faces charges of being a Jacobite.",1995-04-07,Adventure Biography Drama History,139,31596911.0,,31596911,2023272.0,Metro-Goldwyn-Mayer (MGM)
Powder (1995),An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,1995-10-27,Drama Fantasy Mystery Thriller,111,30862156.0,,30862156,7146973.0,Walt Disney Studios Motion Pictures
Assassins (1995),Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,1995-10-06,Action Crime Thriller,133,30303072.0,,30303072,9378637.0,Warner Bros.
Free Willy 2: The Adventure Home (1995),Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,1995-07-21,Adventure Drama Family,95,30077111.0,,30077111,7039608.0,Warner Bros.
Major Payne (1995),"When a recently discharged Marine struggles to adjust to civilian life, his commanding officer brings him back to the military to train and lead a group of misfit JORTC cadets.",1995-03-24,Adventure Comedy Family,95,29412050.0,700000.0,30112050,7011225.0,Universal Pictures
Friday (1995),"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",1995-04-28,Comedy Drama,91,27467564.0,748354.0,28215918,6589341.0,New Line Cinema
