movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Toy Story 3 (2010),"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",2010-06-16,Adventure Animation Comedy Family Fantasy,,103,415004880.0,652311221.0,1067316101,110307189.0,Walt Disney Studios Motion Pictures
Alice in Wonderland (2010),"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",2010-03-03,Adventure Family Fantasy Mystery,PG,108,334191110.0,691277106.0,1025468216,116101023.0,Walt Disney Studios Motion Pictures
Harry Potter and the Deathly Hallows: Part 1 (2010),"Harry Potter is tasked with the dangerous and seemingly impossible task of locating and destroying Voldemort's remaining Horcruxes. Harry must rely on Ron and Hermione more than ever, but dark forces threaten to tear them apart.",2010-11-17,Adventure Family Fantasy Mystery,PG-13,146,296374621.0,664444507.0,960858478,125017372.0,Warner Bros.
Inception (2010),"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2010-07-15,Action Adventure Sci-Fi Thriller,PG-13,148,292587330.0,546794568.0,839381898,62785337.0,Warner Bros.
Shrek Forever After (2010),Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,2010-05-20,Adventure Animation Comedy Family Fantasy Romance,PG,93,238736787.0,513864080.0,752600867,70838207.0,DreamWorks
The Twilight Saga: Eclipse (2010),"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",2010-06-30,Action Adventure Drama Fantasy Mystery Romance Thriller,PG-13,124,300531751.0,397978074.0,698513085,64832191.0,Summit Entertainment
Iron Man 2 (2010),"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",2010-04-28,Action Sci-Fi,PG-13,124,312433331.0,311500000.0,623933331,128122480.0,Paramount Pictures
Tangled (2010),"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",2010-11-24,Adventure Animation Comedy Family Fantasy Musical Romance,PG,100,200821936.0,390974084.0,591806017,48767052.0,Walt Disney Studios Motion Pictures
Despicable Me (2010),"Gru, a criminal mastermind, adopts three orphans as pawns to carry out the biggest heist in history. His life takes an unexpected turn when the little girls see the evildoer as their potential father.",2010-07-08,Adventure Animation Comedy Crime Family Sci-Fi,PG,95,251683815.0,292490717.0,544174973,56397125.0,Universal Pictures
How to Train Your Dragon (2010),"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",2010-03-18,Action Adventure Animation Family Fantasy,PG,98,217581231.0,277298240.0,494879860,43732319.0,DreamWorks
Clash of the Titans (2010),"Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth.",2010-03-31,Action Adventure Fantasy,PG-13,106,163214888.0,330000105.0,493214993,61235105.0,Warner Bros.
The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),"Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world.",2010-12-02,Adventure Family Fantasy,PG,113,104386950.0,311299267.0,415686217,24005069.0,Twentieth Century Fox
The King's Speech (2010),"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",2010-11-26,Biography Drama History,R,118,138797449.0,275445009.0,414245125,355450.0,The Weinstein Company
Tron: Legacy (2010),The son of a computer programmer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,2010-12-16,Action Adventure Sci-Fi,PG,125,172062763.0,228001268.0,400070675,44026211.0,Walt Disney Studios Motion Pictures
The Karate Kid (2010),"Work causes a single mother to move to China with her young son; in his new home, the 12-year-old boy embraces Kung Fu, taught to him by a master.",2010-06-10,Action Drama Family Sport,PG,140,176591618.0,182534404.0,359126022,55665805.0,Sony Pictures Releasing
Black Swan (2010),"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",2010-12-03,Drama Thriller,R,108,106954678.0,222443368.0,329398046,1443809.0,Fox Searchlight Pictures
Megamind (2010),"Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world.",2010-10-28,Action Adventure Animation Comedy Crime Family Fantasy Sci-Fi,PG,95,148415853.0,173469912.0,321885765,46016833.0,DreamWorks
Robin Hood (2010),"In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",2010-05-12,Action Adventure Drama History,PG-13,140,105269730.0,216400011.0,321669741,36063385.0,Universal Pictures
The Last Airbender (2010),"Aang, a young successor to a long line of Avatars, must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",2010-07-01,Action Adventure Family Fantasy,PG,103,131772187.0,187941694.0,319713881,40325019.0,Paramount Pictures
Little Fockers (2010),"Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?",2010-12-22,Comedy Romance,PG-13,98,148438600.0,162211985.0,310650585,30833665.0,Universal Pictures
Resident Evil: Afterlife (2010),"While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors living in a prison surrounded by the infected who also want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia.",2010-09-09,Action Horror Sci-Fi,R,96,60128566.0,240099518.0,300228084,26650264.0,Screen Gems
Shutter Island (2010),Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,2010-02-18,Drama Mystery Thriller,R,138,128012934.0,166921273.0,294978537,41062440.0,Paramount Pictures
Salt (2010),A CIA agent goes on the run after a defector accuses her of being a Russian spy.,2010-07-21,Action Thriller,PG-13,100,118311368.0,175191986.0,293503354,36011243.0,Sony Pictures Releasing
Sex and the City 2 (2010),"While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.",2010-05-27,Comedy Drama Romance,R,146,95347692.0,195397363.0,290745055,31001870.0,Warner Bros.
